title,content_length,lead_length,lead_length_ratio,num_header2_reference,num_refTag,num_ref_tag,num_page_links,num_cite_temp,num_non_cite_templates,num_categories,num_images_length,num_files_length,has_infobox,num_lv2_headings,num_lv3_headings,website_count,word_count,type
新西兰维多利亚十字勋章,19491,3874,0.1987584013134267,0,0,23,54,25,29,4,0.0005643630393514956,0.00010261146170027192,1,6,2,18,994,FA
应该不应该,24696,2182,0.08835438937479753,0,0,13,79,13,56,2,0.00012147716229348882,4.049238743116294e-05,1,5,4,11,1414,FA
飓风伊莎贝尔,62367,2447,0.039235493129379316,0,0,77,239,77,89,21,0.000593262462520243,0.00011223884426058652,1,7,6,30,2003,FA
颶風琳達 (1997年),17600,1841,0.10460227272727272,0,0,16,76,15,24,4,0.0017045454545454545,0.00017045454545454547,1,7,0,9,1016,FA
约翰·塞巴斯蒂安·巴赫,124501,3117,0.025035943486397698,19,0,176,332,36,250,6,0.00032931462397892385,0.00016064127998971896,1,8,25,40,5595,FA
摩根银元,24745,1792,0.07241867043847242,11,0,0,104,11,155,5,0.0008890684986866033,0.00024247322691452818,0,9,2,7,1365,FA
第77届奥斯卡金像奖,67555,4780,0.07075716083191473,0,0,56,529,56,280,3,0.0008141514321663829,0.00013322477980904447,1,6,11,31,2848,FA
邪恶无休,31336,2443,0.0779614500893541,0,0,28,73,28,67,3,0.00038294613224406433,6.382435537401073e-05,1,6,5,13,1662,FA
2006年威斯特彻斯特县龙卷风,15983,2081,0.13020083839079022,0,0,17,70,17,42,3,0.0007507977225802415,0.00018769943064506038,1,5,0,13,911,FA
1916年德克萨斯飓风,52799,2207,0.041800034091554764,0,0,74,155,74,62,6,0.0019129150173298737,3.7879505293660864e-05,1,6,2,11,2159,FA
沖繩縣,128460,5702,0.04438735793243033,0,0,182,469,180,457,3,0.0013700762883387826,0.00020239763350459288,1,13,25,110,4407,FA
E.T.外星人,73641,2718,0.036908787224508084,0,0,107,274,100,199,18,0.0006789695957415026,5.4317567659320214e-05,1,9,6,56,3355,FA
波蘭戰役,126103,4974,0.039443946615068635,0,0,30,341,78,464,8,0.00044408142550137587,0.00019032061092916108,1,9,25,37,5124,FA
良渚文化,33444,752,0.022485348642506876,0,0,11,266,16,126,5,0.00023920583662241358,0.00023920583662241358,1,15,4,5,1987,FA
飓风卡罗尔,40465,1851,0.04574323489435315,0,0,37,174,38,87,5,0.0004942542938341777,7.413814407512665e-05,1,7,2,14,1682,FA
飓风肯纳,22743,1227,0.05395066613903179,0,0,21,99,19,35,6,0.00048366530360990196,0.00013190871916633689,1,6,0,8,1171,FA
马克·汉纳,104131,2500,0.024008220414669983,24,0,0,334,24,368,19,0.0002496854923125678,0.00016325589881975588,1,12,17,5,4309,FA
本杰明·富兰克林·蒂利,23231,1444,0.06215832293056692,0,0,27,127,27,46,4,0.0003013215100512247,4.3045930007317805e-05,1,5,3,4,1412,FA
乔治·巴顿,104093,3275,0.03146225010327303,0,0,34,611,35,477,23,0.0006148348111784654,0.00019213587849327044,1,14,9,15,4879,FA
高捷少女,102002,1678,0.01645065783023862,0,0,131,367,130,27,6,0.0008823356404776377,0.0005784200309797847,0,7,19,43,3139,FA
2011年圖森槍擊事件,105953,8118,0.07661887818183534,0,0,170,167,171,70,7,0.0018781912734891885,5.662888261776448e-05,1,7,6,93,3764,FA
札幌市,62252,4528,0.07273661890381032,0,0,93,215,93,177,3,0.0023613699158259974,0.0002730835957077684,1,13,4,57,2288,FA
北洋大学,72259,1482,0.020509555903070898,0,0,76,296,73,17,7,0.0004013340898711579,0.00026294302439834486,0,11,25,4,2509,FA
3美元金币,29676,2395,0.08070494675832322,12,0,0,116,12,136,5,0.0002358808464752662,0.00013478905512872354,0,5,3,0,1590,FA
保罗·卡加梅,167667,7199,0.04293629634931143,196,0,23,253,219,620,5,0.0010854849195130825,8.946304281701229e-05,1,13,25,97,5711,FA
1988年大西洋飓风季,74732,3751,0.050192688540384306,0,0,81,216,81,165,1,0.002903709254402398,0.0,1,8,22,11,2047,FA
芙蕾达·平托,90344,1402,0.015518462764544407,0,0,138,222,138,87,9,0.003221021871956079,6.64128221021872e-05,1,9,5,68,3088,FA
飓风米奇,46260,1481,0.03201469952442715,0,0,47,175,48,89,11,0.0006052745352356247,0.0001513186338089062,1,7,5,28,1897,FA
Fuck：禁忌词与保护我们的第一修正案自由,21941,1588,0.07237591723257827,0,0,27,76,27,57,5,0.001412879996353858,9.11535481518618e-05,1,6,0,17,1190,FA
鲁比·拉冯,33987,2024,0.05955218171653868,0,0,10,153,11,200,5,0.00026480713213875896,2.9423014682084327e-05,1,7,2,8,1789,FA
2002年大西洋颶風季,63919,2979,0.046605860542248786,0,0,61,214,61,165,2,0.0013767424396501822,0.0,1,9,17,24,1763,FA
颱風梅米,53830,3877,0.0720230354820732,0,0,73,178,73,76,5,0.000613041055173695,5.573100501579045e-05,1,8,3,36,2222,FA
催淚彈,104250,873,0.00837410071942446,0,0,119,329,124,161,16,0.0005851318944844124,0.00013429256594724222,0,9,11,75,3986,FA
亨利·科尼利厄斯·伯内特,25155,3068,0.12196382428940568,0,0,18,133,18,85,3,0.0014311270125223613,0.0001590141125024846,1,8,0,6,1400,FA
美利坚合众国诉进步案,46104,1789,0.03880357452715599,20,0,9,187,29,188,6,0.0004988721152177685,6.50702758979698e-05,1,5,9,10,2325,FA
快乐人生,36274,2032,0.05601808457848597,0,0,16,158,29,184,9,0.0007994706952638253,0.0001102718200363897,1,8,8,14,1936,FA
无字小说,27032,961,0.03555045871559633,15,0,0,140,18,155,5,0.0004439183190292986,0.0002959455460195324,0,6,7,10,1580,FA
试播集 (邪恶力量),30272,1434,0.04737050739957717,0,0,24,107,24,70,4,0.0001982029598308668,6.60676532769556e-05,1,5,6,20,1633,FA
2001年热带风暴尚塔尔,20084,1120,0.05576578370842462,0,0,26,73,26,21,6,0.001095399322844055,9.958175662218681e-05,1,4,0,12,942,FA
1995年太平洋颶風季,53997,2253,0.041724540252236236,0,0,59,108,59,90,1,0.0010000555586421468,1.8519547382261978e-05,1,8,12,14,1549,FA
白色念珠菌,72443,6947,0.09589608381762213,0,0,110,244,110,93,4,0.000745413635547948,9.662769349695623e-05,0,9,13,17,3329,FA
弗吉尼亚州诺福克二百周年半美元,21232,1495,0.07041258477769405,0,0,7,62,21,106,5,0.0002825923134890731,0.0,0,7,0,4,1250,FA
津沽大学,44302,1172,0.026454787594239536,0,0,41,159,40,23,8,0.00029344047672791296,0.0002482957880005417,0,14,12,3,1827,FA
五胡十六国,81867,1700,0.02076538776307914,0,0,88,981,16,43,4,0.00035423308537017357,0.0001832240096742277,0,17,10,9,4295,FA
颶風伊尼基,32014,1712,0.05347660398575623,0,0,31,117,29,56,6,0.0014993440369838195,0.00015618167051914788,1,8,3,26,1801,FA
萨达 (也门),38620,4263,0.11038322112894873,4,0,35,225,35,106,2,0.0009062661833247022,0.0001294665976178146,1,7,10,29,1986,FA
飓风哈蒂,30477,2829,0.09282409685992715,0,0,30,102,30,33,6,0.00022968139908783672,6.562325688223906e-05,1,6,1,12,1623,FA
南开大学校史,54972,1087,0.01977370297606054,0,0,97,282,96,6,3,0.0006003056101287928,0.0003638215818962381,0,12,0,9,2519,FA
熱帶性低氣壓WP242018,81378,1221,0.015004055150040552,0,0,142,160,142,149,9,0.00031949666986163334,3.686500036865e-05,1,9,13,45,2845,FA
函館市,75161,3490,0.04643365575231836,0,0,123,223,123,203,1,0.002607735394686074,0.00018626681390614813,1,11,4,64,2626,FA
世上没有吸血鬼,28261,3127,0.11064718162839249,0,0,31,76,31,59,2,0.0007076890414351933,0.000106153356215279,1,5,0,25,1430,FA
颱風鳳仙,26463,2614,0.09877942788043684,0,0,18,102,18,62,2,0.0008691380417942032,0.00022673166307674868,1,8,3,20,1431,FA
卡尔·马克思,237701,11943,0.050243793673564685,12,0,325,1009,289,373,46,0.0005637334298130845,5.469055662365745e-05,1,13,27,56,5760,FA
南开大学,84321,2845,0.033740112190320325,0,0,151,374,144,36,7,0.001387554701675739,0.0003676426987345975,0,10,29,40,3296,FA
乌列尔·塞伯里,44722,1416,0.0316622691292876,0,0,68,197,74,85,7,0.0003354053933187246,4.4720719109163274e-05,1,7,9,8,2184,FA
颱風蓓姬 (1986年),31688,1719,0.054247664731128506,0,0,44,214,44,46,7,0.0007258268114112597,0.00012623074981065388,1,6,4,12,1784,FA
气旋艾丽塔,19667,936,0.047592413687903595,0,0,29,93,29,18,5,0.0012203182996898358,0.00010169319164081965,1,6,0,11,984,FA
飓风伊万对小安的列斯群岛和南美洲的影响,33387,2171,0.06502530925210412,0,0,38,89,38,51,6,0.0011681193278821097,5.990355527600563e-05,1,5,3,18,1469,FA
飓风迪安的气象历史,34467,1437,0.04169205326834363,0,0,50,102,50,24,5,0.000406185626831462,5.8026518118780284e-05,1,6,0,8,1060,FA
圣高登斯双鹰金币,41567,2547,0.061274568768494235,15,0,0,121,15,207,6,0.0006495537325282075,0.00024057545649192868,0,10,2,8,2105,FA
1944年古巴－佛罗里达飓风,78984,3361,0.04255292211080725,0,0,111,255,109,146,8,0.0009495594044363415,6.330396029575611e-05,1,8,3,18,3058,FA
中華人民共和國1994年分稅制改革,28418,703,0.024737842212682104,0,0,31,67,26,6,6,0.0004574565416285453,0.0,0,7,3,9,1307,FA
2018年7月東北亞熱浪,43716,493,0.011277335529325647,0,0,76,118,75,8,10,0.0006404977582578461,2.2874919937780217e-05,0,8,2,63,1953,FA
路易斯安那购地一百五十周年半美元,25453,643,0.025262248065061093,0,0,1,66,31,105,2,0.0002750166974423447,7.857619926924134e-05,0,7,0,9,1204,FA
飓风艾琳 (2005年),12332,974,0.07898151151475835,0,0,10,58,11,18,3,0.0006487187804086928,0.0001621796951021732,1,5,0,7,723,FA
芒市,186387,2456,0.013176884653972648,0,0,255,1444,236,480,6,0.00046677075117899854,0.0002038768798253097,1,18,54,63,6270,FA
亚当·艾克菲尔特,22073,1438,0.06514746522901282,14,0,0,69,14,106,3,0.0006342590495175101,0.00031712952475875504,1,5,2,4,1343,FA
東望洋燈塔景觀危機,52544,4973,0.09464448842874543,0,0,45,157,40,11,2,0.0004948233861144945,0.0001522533495736906,0,6,8,25,2325,FA
加勒比海盗4：惊涛怪浪,134532,6003,0.04462135402729462,0,0,193,302,192,213,26,0.0011521422412511522,1.4866351500014867e-05,1,9,13,97,4308,FA
