title,content_length,lead_length,lead_length_ratio,num_header2_reference,num_refTag,num_ref_tag,num_page_links,num_cite_temp,num_non_cite_templates,num_categories,num_images_length,num_files_length,has_infobox,num_lv2_headings,num_lv3_headings,website_count,word_count,type
1789 Virginia's 5th congressional district election,37634,3405,0.09047669660413456,14,0,2,107,16,133,7,0.0020194504968911093,0.0003188606047722804,1,10,1,4,1721,FA
1950 United States Senate election in California,78420,4314,0.0550114766641163,0,0,0,248,33,340,4,0.0032517214996174446,0.00031879622545269063,1,8,16,6,2887,FA
2001 UEFA Cup Final,41355,3729,0.09017047515415307,0,0,45,228,44,86,11,0.001982831580220046,0.0005319792044492807,1,7,7,8,1405,FA
2010 United States Senate Democratic primary election in Pennsylvania,118421,4182,0.03531468236208105,0,0,122,299,121,52,7,0.0029217790763462564,0.00016888896395065065,1,8,10,58,3091,FA
Action of 13 January 1797,31864,3445,0.10811574190308812,0,0,43,107,9,38,4,0.0030755711775043936,0.0006904343459703741,1,7,4,2,1534,FA
Alcibiades,102356,3937,0.038463793036070185,0,0,172,328,71,65,16,0.00210051193872367,0.00016608699050373206,1,11,16,25,3742,FA
Allan Walters,38114,4338,0.11381644540064019,0,0,68,223,41,28,11,0.0026237078238967306,0.00034108201710657504,1,6,0,12,1451,FA
Bazy Tankersley,43901,4460,0.10159221885606251,5,0,52,148,44,34,15,0.0015489396596888453,0.00025056376847907793,1,9,5,37,1868,FA
Brad Pitt,147345,4444,0.030160507652108995,0,0,238,558,238,64,27,0.0017917133258678612,0.00019681699412942415,1,10,7,110,4014,FA
Cameroon,113193,13343,0.11787831403001953,0,0,203,588,85,144,13,0.0018994107409468783,0.0004770613023773555,1,14,23,102,4236,FA
Chad Harris-Crane,29614,4221,0.1425339366515837,0,0,29,128,29,14,8,0.002059836563787398,0.00010130343756331464,1,6,2,23,1350,FA
Circinus,29826,2560,0.08583115402668813,0,0,50,169,49,18,3,0.0017099175216254276,0.0001341111781667002,1,5,3,16,1473,FA
Crush (video game),33807,2705,0.08001301505605347,0,0,39,91,39,18,10,0.0017156210252314609,0.00017747803709290975,1,7,2,36,1458,FA
Denbies,44358,2468,0.05563821633076334,0,0,42,146,36,209,2,0.0018035078227151811,0.00013526308670363857,0,6,11,16,2006,FA
Emma Goldman,102823,5104,0.04963869951275493,0,0,207,494,26,70,80,0.0021395991169290917,0.00045709617498030595,1,8,30,29,3989,FA
Eris (dwarf planet),60174,7875,0.13087047562069998,0,0,72,206,65,104,12,0.0011466746435337522,9.971083856815236e-05,1,12,2,51,2299,FA
Evelyn Mase,28876,2876,0.09959828231056933,0,0,0,92,9,143,10,0.0025280509765895553,0.00013852334118298935,1,4,4,6,1314,FA
Flood (Halo),35191,1977,0.056179136711090906,0,0,51,110,50,15,9,0.0024153902986559063,0.0001989144951834276,0,6,4,26,1646,FA
Go Man Go,25005,3542,0.1416516696660668,0,0,36,61,20,55,7,0.0021995600879824036,7.998400319936013e-05,1,9,0,8,1216,FA
Henry Wells (general),33981,3777,0.1111503487242871,0,0,59,177,31,68,14,0.0022365439510314586,0.0002648538889379359,1,6,2,8,1281,FA
Hurricane Daniel (2006),16333,1769,0.10830833282311884,0,0,24,76,24,12,7,0.004040898793852936,0.00018367721790240617,1,4,0,11,786,FA
Hurricane Lane (2006),22168,1983,0.08945326596896427,0,0,33,92,33,14,6,0.001623962468422952,9.022013713460844e-05,1,7,0,15,1061,FA
Javan rhinoceros,49969,5909,0.11825331705657507,0,0,63,151,54,33,14,0.002641637815445576,0.00016009926154215612,0,11,4,33,2269,FA
Jupiter trojan,38488,4584,0.11910205778424444,0,0,38,134,39,49,2,0.0012731240906256496,0.0001818748700893785,0,11,3,16,1665,FA
Keldholme Priory election dispute,26150,1967,0.07521988527724666,0,0,0,85,13,142,7,0.001491395793499044,7.648183556405354e-05,0,5,5,2,1276,FA
Lambeosaurus,36632,3353,0.09153199388512775,0,0,38,199,30,28,8,0.0018835990390915047,0.0004640751255732693,0,9,6,8,1630,FA
Macaroni penguin,32150,3388,0.10538102643856921,0,0,49,124,33,34,12,0.0014930015552099534,0.00031104199066874026,0,8,4,17,1721,FA
Made in the Dark,35695,4163,0.11662697856842695,0,0,44,170,43,26,5,0.001877013587337162,0.0001120605126768455,1,9,12,42,1541,FA
Mesopropithecus,31490,3558,0.11298825023817084,0,0,30,137,27,165,5,0.002508732931089235,0.00019053667831057478,0,5,1,7,1271,FA
Noronha skink,37802,5274,0.139516427702238,0,0,75,151,0,34,6,0.00148140310036506,0.00026453626792233216,0,8,5,12,1692,FA
Olympic Games,174226,5604,0.03216511886859596,37,0,209,644,242,145,5,0.0014521368796850068,0.0002468058728318391,0,17,33,102,5019,FA
Opeth,80161,4732,0.05903119971058245,0,0,137,306,136,35,12,0.0018088596699142975,0.00019959830840433627,1,7,9,79,2692,FA
"Radcliffe, Greater Manchester",104341,3292,0.031550397255153774,0,0,191,405,123,144,5,0.0019934637390862653,0.00029710276880612606,1,16,9,62,3395,FA
Raptor Red,20798,2084,0.10020194249447062,0,0,26,117,22,7,5,0.003606115972689682,0.0003365708241177036,1,6,2,4,1251,FA
Rodent,122426,3666,0.02994461960694624,0,0,146,632,148,81,4,0.002409618871808276,0.0007269697613252087,0,9,20,61,5042,FA
Samantha Smith,39503,2728,0.0690580462243374,0,0,66,180,56,23,14,0.0021770498443156217,0.00010125813229374985,1,8,0,38,2008,FA
Shakespeare authorship question,157514,10684,0.06782889140012952,0,0,271,528,131,429,6,0.0016950874208006908,0.0002539456810188301,0,8,22,27,4847,FA
Silky shark,52654,5322,0.10107494207467618,0,0,52,206,41,50,12,0.001500360846279485,0.00034185437003836366,0,8,3,19,2428,FA
Smyth Report,36296,2769,0.07628939828080229,0,0,3,116,21,85,6,0.001956138417456469,0.0002479612078465947,1,8,0,13,1681,FA
St. Croix macaw,24939,2599,0.10421428285015438,0,0,15,121,15,40,9,0.0023256746461365733,0.00024058703235895585,0,4,0,8,1194,FA
Star Trek: The Motion Picture,150171,6617,0.04406310139773991,0,0,210,516,105,106,19,0.0016181553029546317,0.00012652243109521812,1,10,16,47,4888,FA
Susi Kentikian,45310,2655,0.0585963363495917,0,0,56,146,0,291,12,0.0022511586846170823,0.0003310527477378062,1,7,3,26,1592,FA
Temple of Eshmun,44937,4378,0.09742528428689054,0,0,58,231,47,38,13,0.0019582971715957896,0.00017802701559961726,1,10,5,11,2286,FA
The Phantom Tollbooth,44254,3303,0.07463732092014282,0,0,24,124,31,62,11,0.0017625525376237176,0.00011298413702716139,1,10,0,23,2202,FA
Trials of Mana,67132,3726,0.05550259190847882,0,0,71,182,48,59,13,0.002368468092712864,0.00023833641184531966,1,8,5,29,2393,FA
United States Military Academy,136634,7734,0.05660377358490566,0,0,261,510,198,56,22,0.0017857927016701554,0.00035130348229576823,1,14,26,80,4516,FA
White-eyed river martin,28039,3433,0.12243660615571168,0,0,36,103,34,16,6,0.003709119440778915,0.00017832305003744785,0,9,0,18,1445,FA
William Bostock,40687,3624,0.08907021898886622,0,0,57,194,14,46,16,0.0030722343746159707,0.0003440902499569887,1,6,3,9,1627,FA
Witchfinder General (film),67062,6339,0.09452446989353136,0,0,59,293,57,24,22,0.0030717843189883988,0.00014911574364021355,1,10,7,38,2891,FA
Yugoslav submarine Hrabri,13020,3080,0.23655913978494625,0,0,0,94,10,77,6,0.0007680491551459293,0.00015360983102918587,1,5,3,5,684,FA
2019 Champion of Champions,40914,2421,0.059172899252089746,0,0,41,189,41,120,6,0.001173192550227306,4.8883022926137754e-05,1,6,5,15,1029,FA
Alf Ramsey,137375,6092,0.044345768880800725,0,0,118,470,125,229,31,0.0023293903548680618,0.00031301182893539583,1,12,29,43,3819,FA
All You Need Is Love (JAMs song),22960,2389,0.10405052264808362,0,0,21,128,8,34,11,0.0014372822299651567,0.0,1,7,0,9,1157,FA
